,epreuve,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
short-track-speed-skating,Men's 500m_3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short-track-speed-skating,Men's 1000m_1,1,1,1,1,1,CHN,CHN,HUN,CHN,NLD,TUR,USA,KOR,KOR,KOR,FRA,CAN,USA,HUN,AUS,CAN,JPN,ITA,NLD,LAT,ROC,KAZ,JPN,ISR,GBR,FRA,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short-track-speed-skating,Men's 1500m_1,1,1,1,1,1,KOR,CAN,ROC,HUN,KOR,HUN,KOR,KAZ,GBR,ITA,HUN,ROC,BEL,NLD,LAT,JPN,ISR,CAN,CAN,NLD,CHN,JPN,FRA,ROC,CHN,LAT,JPN,USA,FRA,NLD,POL,ITA,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short-track-speed-skating,Men's 5000m Relay_1,1,4,4,1,1,CAN,KOR,ITA,ROC,CHN,HUN,NLD,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short-track-speed-skating,Mixed Team Relay_1,1,4,5,1,1,CHN,ITA,HUN,NLD,KAZ,CAN,ROC,USA,KOR,JPN,POL,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeleton,Men_1,1,1,1,1,1,Germany,Germany,CHN,ROC,CHN,ROC,LAT,Germany,LAT,KOR,ITA,KOR,AUT,ITA,GBR,GBR,AUT,UKR,ASA,CAN,USA,SUI,ROC,ESP,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skeleton,Women_1,1,1,1,1,1,Germany,AUS,NLD,Germany,CAN,USA,CZE,Germany,CHN,AUT,ROC,ITA,BRA,CHN,ROC,ROC,CAN,BEL,GBR,LAT,USA,GBR,KOR,PUR,ISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Women's Normal Hill Individual_1,1,1,1,1,1,SLO,Germany,SLO,JPN,SLO,NOR,ROC,AUT,SLO,ROC,FRA,AUT,JPN,JPN,NOR,SWE,ROC,JPN,Germany,AUT,NOR,Germany,CAN,Germany,ROU,ROC,FIN,CZE,ITA,CZE,CHN,FIN,CZE,FRA,POL,POL,USA,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Men's Normal Hill Individual_1,1,1,1,1,1,JPN,AUT,POL,SLO,ROC,POL,NOR,ROC,SLO,AUT,Germany,FIN,SLO,0,Germany,CAN,SUI,CZE,AUT,NOR,POL,BUL,ROC,Germany,SUI,POL,JPN,SLO,CZE,NOR,Germany,JPN,0,EST,SUI,TUR,SUI,JPN,USA,EST,ITA,0,USA,USA,CAN,KAZ,UKR,ROU,USA,ROU,CZE,UKR,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ski-jumping,Men's Normal Hill Individual_2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROC,0,0,0,0,0,0,0,0,KAZ,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
