,olympic_game,type,discipline,event,event_step,normal,team,group,licensed,country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
10,tokyo-2020,olympic,shooting,25m-pistol-women,25m-pistol-women_1,1,1,1,1,ROC,KOR,CHN,BUL,TPE,GRE,GER,TPE,SRB,THA,AUS,FRA,ECU,CUB,IND,CHN,THA,USA,ROC,GER,KOR,SUI,UKR,POL,GEO,MGL,BUL,IRI,AUT,SRB,FRA,IND,USA,MGL,HUN,BLR,LAT,ECU,TUN,JPN,MLT,CAN,JPN,ALB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,tokyo-2020,olympic,shooting,10m-air-pistol-men,10m-air-pistol-men_1,1,1,1,1,IRI,SRB,CHN,UKR,GER,CHN,IND,KOR,PAK,USA,ROC,MGL,USA,MYA,KOR,JPN,IND,UKR,CUB,AZE,MKD,VIE,ROC,TUR,TUR,ITA,SVK,ISL,PER,AUS,EGY,BRA,EST,TUN,ARU,NCA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tokyo-2020,olympic,shooting,10m-air-pistol-mixed-team,10m-air-pistol-mixed-team_1,1,1,1,1,CHN,ROC,UKR,SRB,IRI,CHN,IND,AUS,KOR,USA,KOR,GER,MGL,CUB,ROC,USA,IND,EGY,TUN,JPN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,tokyo-2020,olympic,shooting,skeet-men,skeet-men_1,1,1,1,1,USA,DEN,KUW,FIN,FRA,ITA,CZE,PER,CYP,ITA,FRA,CYP,KOR,NOR,USA,KUW,ARG,IND,EGY,GRE,AUS,KSA,SWE,UAE,IND,AZE,JPN,FIN,EGY,GUA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,tokyo-2020,olympic,diving,men-s-synchronised-3m-springboard,men-s-synchronised-3m-springboard_1,1,1,1,1,CHN,USA,GER,MEX,JPN,ITA,GBR,ROC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,tokyo-2020,olympic,diving,women-s-synchronised-3m-springboard,women-s-synchronised-3m-springboard_1,1,1,1,1,CHN,CAN,GER,MEX,JPN,GBR,ITA,USA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,tokyo-2020,olympic,diving,men-s-synchronised-10m-platform,men-s-synchronised-10m-platform_1,1,1,1,1,GBR,CHN,ROC,MEX,CAN,UKR,KOR,JPN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,tokyo-2020,olympic,diving,men-s-3m-springboard,men-s-3m-springboard_1,1,1,1,1,CHN,CHN,GBR,KOR,ROC,MEX,GER,NZL,GBR,USA,EGY,JPN,DOM,MEX,JAM,FRA,COL,COL,ESP,ITA,GER,UKR,USA,ROC,IRL,ESP,AUS,KOR,CAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,tokyo-2020,olympic,diving,women-s-synchronised-10m-platform,women-s-synchronised-10m-platform_1,1,1,1,1,CHN,USA,MEX,CAN,GER,JPN,GBR,MAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,tokyo-2020,olympic,diving,women-s-10m-platform,women-s-10m-platform_1,1,1,1,1,CHN,CHN,AUS,MEX,USA,MEX,GBR,GER,GBR,NED,ROC,MAS,CAN,ITA,IRL,FRA,USA,GER,KOR,EGY,AUS,JPN,CAN,BRA,ROC,MAS,ITA,NOR,UKR,SGP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
